Scenario_Full_ID,M_Opt,Max_Value,Error_Rate,Error_Type,Pos_Errors,Neg_Errors,Seeded_Population_Rate,Config_ID,Avg_Time_Sec,Avg_Generations,Avg_Found_M,Avg_Distance_From_Opt
M50_Max250_Clean_Seed0%_CfgA,50,250,0.0,none,0,0,0.0,A,9.4112,41.2,61.8,11.8
M50_Max250_Clean_Seed0%_CfgB,50,250,0.0,none,0,0,0.0,B,18.6231,42.7,61.3,11.3
M40_Max1000_Err5%_both_Seed2%_CfgC,40,1000,0.05,both,39,39,0.02,C,110.1902,27.1,73.6,33.6
M50_Max250_Clean_Seed2%_CfgA,50,250,0.0,none,0,0,0.02,A,9.9007,43.9,61.1,11.1
M50_Max250_Clean_Seed2%_CfgB,50,250,0.0,none,0,0,0.02,B,16.9004,40.1,59.8,9.8
M50_Max250_Clean_Seed0%_CfgC,50,250,0.0,none,0,0,0.0,C,37.6242,36.7,61.9,11.9
M50_Max250_Err2%_pos_Seed0%_CfgA,50,250,0.02,pos,24,0,0.0,A,10.0462,43.9,61.9,11.9
M50_Max250_Clean_Seed2%_CfgC,50,250,0.0,none,0,0,0.02,C,34.356,34,61.6,11.6
M50_Max250_Err2%_pos_Seed0%_CfgB,50,250,0.02,pos,24,0,0.0,B,21.509,47.4,61.6,11.6
M50_Max250_Err2%_pos_Seed2%_CfgA,50,250,0.02,pos,24,0,0.02,A,7.958,33.6,62.9,12.9
M50_Max250_Err2%_pos_Seed2%_CfgB,50,250,0.02,pos,24,0,0.02,B,17.7223,38.8,62.1,12.1
M50_Max250_Err2%_pos_Seed0%_CfgC,50,250,0.02,pos,24,0,0.0,C,35.5774,33.7,62.6,12.6
M50_Max250_Err2%_neg_Seed0%_CfgA,50,250,0.02,neg,0,24,0.0,A,8.9115,39.1,61.7,11.7
M50_Max250_Err2%_pos_Seed2%_CfgC,50,250,0.02,pos,24,0,0.02,C,36.1643,34.5,62.3,12.3
M50_Max250_Err2%_neg_Seed0%_CfgB,50,250,0.02,neg,0,24,0.0,B,18.6265,42.7,61,11
M50_Max250_Err2%_neg_Seed2%_CfgA,50,250,0.02,neg,0,24,0.02,A,9.7343,43.6,61.2,11.2
M50_Max250_Err2%_neg_Seed2%_CfgB,50,250,0.02,neg,0,24,0.02,B,17.2005,39.9,60.8,10.8
M50_Max250_Err2%_neg_Seed0%_CfgC,50,250,0.02,neg,0,24,0.0,C,36.2052,36.2,61.3,11.3
M50_Max250_Err2%_both_Seed0%_CfgA,50,250,0.02,both,24,24,0.0,A,10.5366,47.9,61.2,11.2
M50_Max250_Err2%_neg_Seed2%_CfgC,50,250,0.02,neg,0,24,0.02,C,31.6517,31.1,61.8,11.8
M50_Max250_Err2%_both_Seed0%_CfgB,50,250,0.02,both,24,24,0.0,B,18.4256,39.9,61.7,11.7
M50_Max250_Err2%_both_Seed2%_CfgA,50,250,0.02,both,24,24,0.02,A,11.2962,49.5,61.9,11.9
M50_Max250_Err2%_both_Seed0%_CfgC,50,250,0.02,both,24,24,0.0,C,35.1104,34.3,62.2,12.2
M50_Max250_Err2%_both_Seed2%_CfgB,50,250,0.02,both,24,24,0.02,B,19.5832,43.8,61.5,11.5
M50_Max250_Err5%_pos_Seed0%_CfgA,50,250,0.05,pos,61,0,0.0,A,8.9771,35.4,63.9,13.9
